0,load id=Story02End,,,,,,,,,
0,boss=Boss1|destroy,,,,,,,,,
2,load id=Story02Boss,,,,,,,,,
0,boss=Boss1|activated,,,,,,,,,
0,load id=Story02Mid,,,,,,,,,
5,boss=Boss1|inactivated,,,,,,,,,
0.5,32,AABA120,,,224,AABA120,,,416,AABA120
0.5,,,128,AABA120,,,320,AABA120,,
0.5,32,AAEA150,,,224,AAEA150,,,416,AAEA150
0.5,32,AAAA120,128,AAXA120,224,AAAA120,320,AAXA120,416,AAAA120
0.5,,,128,AAAA060,,,320,AAAA060,,
0.5,32,AAEA150,,,224,AAEA150,,,416,AAEA150
0.5,,,128,AAEA120,,,320,AAEA120,,
0.5,,,,,224,AAAA120,,,416,ADAA120
0.5,32,ACAA090,,,224,AAAA120,,,,
0.5,,,,,224,AAAA120,,,416,ADAA120
0.5,32,ACAA090,,,224,AAAA120,,,,
0.5,,,,,224,AAAA120,,,416,ADAA120
0.5,32,ACAA090,,,224,AAAA120,,,,
0.5,32,AAAA120,,,224,AAAA120,,,416,AAAA120
0.5,,,,,,,,,416,ADAA090
0.5,,,,,,,,,416,ADAA090
0.5,,,,,,,,,416,ADAA090
0.5,32,ACAA090,,,,,,,,
0.5,32,ACAA090,,,,,,,,
0.5,32,ACAA090,,,,,,,,
0.5,32,AABA120,,,224,AAEA120,,,416,AABA120
0.5,,,128,AAEA120,,,320,AAEA120,,
0.5,32,AAEA120,,,224,AAAA120,,,416,AAEA120
0.5,,,128,AAAA120,,,320,AAAA120,,
0.5,32,AAAA120,,,224,AAAA120,,,416,AAAA120
0.5,,,128,AAAA120,,,320,AAAA120,,
0,load id=Story02Start,,,,,,,,,
