Story01Start,event,show portrait_player,left,endline
,l,미나,…이 불꽃은.,endline
,l,미나,아니마의 불꽃이야.,endline
,event,show empty,left,endline
,event,play_se,Beep_in,endline
,l,통신기,(미나…? 들려?),endline
,l,통신기,(…지금 그 지역에 아니마가 발생한 모양이네.),endline
,event,show portrait_player,left,endline
,l,미나,응.;지금 보고 있어.,endline
,event,show empty,left,endline
,l,통신기,(그래. 당연히 알겠지만 수색은 종료야.),endline
,event,show portrait_player,left,endline
,l,미나,…하지만 리타.;이건 불꽃의 아니마야.,endline
,l,미나,미사가 죽던 날….;나타났던 아니마라고.,endline
,event,show empty,left,endline
,l,통신기,(…네 심정은 이해해. 미나.),endline
,l,통신기,(하지만 지금 그곳은 위험지역이야….),endline
,l,통신기,(현장에서 나와. 미나.),endline
,event,show portrait_player,left,endline
,l,미나,….,endline
,l,미나,아니.;안되겠어.,endline
,event,show empty,left,endline
,l,통신기,(미나…?),endline
,event,show portrait_player,left,endline
,l,미나,난…. 이 아니마의 주인과 만나봐야겠어.,endline
,event,show portrait_player_gray,left,endline
,l,통신기,(미나! 안된다고….),endline
,event,play_se,Beep_out,endline
,event,show portrait_player,left,endline
,l,미나,미안해. 리타.,endline
,event,show empty,left,endline
,event,end,,endline
Story01Mid01,event,show portrait_player,left,endline
,l,미나,아니마의 힘이 점차 짙어져.,endline
,l,미나,…가까이 있는 거야.,endline
,l,미나,아니마의 주인이….,endline
,l,미나,침착하게 가자.,endline
,l,미나,난 시선이 닿는 곳이라면 어디든 텔레포트 할 수 있으니까.,endline
,l,,(아무 곳이나 클릭해 텔레포트를 할 수 있습니다.),endline
,event,show empty,left,endline
,event,end,,endline
Story01Mid02,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,손님이 왔구나.,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,…레이나 선배?,endline
,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,나를 아는구나.,endline
,l,레이나,이름이 뭐니?,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,미나예요.,endline
,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,그래.;미나.,endline
,l,레이나,아니마의 영역에 들어왔다는 건….,endline
,l,레이나,너도 '특별한 아이'라는 말이겠네.,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,그런 이야기를 하러 온 게 아니예요.,endline
,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,…그러니?;아쉽네.,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,얼마 전….;미사가 있는 병원에서 폭발이 있었어요.,endline
,l,미나,선배가 그런건가요?,endline
,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,리안 병원 말이구나….,endline
,l,레이나,그곳에 미사라는 아이가 있었던 모양이네.,endline
,l,레이나,…….,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,…네.,endline
,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,그 일이라면….;미안하게 됐어.,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,그 말은….;선배가 그런 게 맞다는 거군요….,endline
,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,…….;그렇다고 하면.,endline
,l,레이나,넌 나를 죽여주겠니?,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,…네?,endline
,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,살살 부탁할게.,endline
,l,레이나,누군가의 손에 죽는 건….;처음이니까.,endline
,event,show empty,left,endline
,event,show empty,right,endline
,event,end,,endline
Story01Boss0,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,디버그,쥬김 루트,endline
,l,레이나,대단한…. 능력이네.,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,….;왜 리안 병원을 공격했죠?,endline
,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,그건…. 사고였어.,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,사고라고요?,endline
,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,그 날….;나는 깨달았거든.,endline
,l,레이나,모든 게 다….;거짓이라는 걸.,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,말 돌리지 마세요.,endline
,l,미나,왜 병원을 공격했냐고요!,endline
,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,…….,endline
,l,레이나,순간이동 능력자라면….;바깥 세상을 본 적 있니?,endline
,l,레이나,너도 진실을 봤다면….,endline
,l,레이나,날 이해할 수 있었을 거야….,endline
,l,,(어디선가 기계적인 멜로디가가 들렸다.),endline
,event,play_se,s_ef_ce_mine_e,endline
,event,show empty,left,endline
,event,show empty,right,endline
,event,end,,endline
Story01Boss1,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,디버그,살림 루트,endline
,l,레이나,순간 이동 능력이라….;대단한…. 능력이네.,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,….;왜 리안 병원을 공격했죠?,endline
,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,그건…. 사고였어.,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,사고라고요?,endline
,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,그 날….;나는 깨달았거든.,endline
,l,레이나,모든 게 다….;거짓이라는 걸.,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,말 돌리지 마세요.,endline
,l,미나,왜 병원을 공격했냐고요!,endline
,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,…….,endline
,l,레이나,순간이동 능력자라면….;바깥 세상을 본 적 있니?,endline
,l,레이나,너도 진실을 봤다면….,endline
,l,레이나,날 이해할 수 있었을 거야….,endline
,l,,(어디선가 기계적인 멜로디가가 들렸다.),endline
,event,play_se,s_ef_ce_mine_e,endline
,event,show empty,left,endline
,event,show empty,right,endline
,event,end,,endline
Story01End,event,nextStage,2,endline
,event,end,,endline
Story02Start,event,show portrait_player,left,endline
,event,play_se,outer_space_twinkle_lp_01,endline
,l,미나,무슨 일이…?,endline
,event,show portrait_player_gray,left,endline
,l,통신기,(미나…. 지금 막 그 지역에 봉쇄령이 떨어졌어.),endline
,event,show portrait_player,left,endline
,l,미나,리타?,endline
,l,미나,어떻게 통신이?,endline
,event,show portrait_player_gray,left,endline
,l,통신기,(무슨 소리야. 미나.),endline
,l,통신기,(그보다 어서 돌아 와.),endline
,l,통신기,(지금 그곳은 위험지역이야….),endline
,event,show portrait_player,left,endline
,l,미나,…불꽃의 아니마가 다시 나타났어?,endline
,l,미나,뭔가 이상해.,endline
,l,미나,다시 가봐야 겠어.,endline
,event,show portrait_player_gray,left,endline
,l,통신기,(미나! 안된다고….),endline
,event,play_se,Beep_out,endline
,event,show portrait_player,left,endline
,l,미나,…미안해. 리타.,endline
,event,show empty,left,endline
,event,show empty,right,endline
,event,end,,endline
Story02Mid,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,손님이 왔구나.,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,…뭐가 어떻게 된 거죠?,endline
,l,미나,왜 아무 상처도 없는 거죠?,endline
,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,그게 대체…. 무슨 말이니?,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,…상황이 반복되고 있어요.,endline
,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,무슨 이야기를 하려는 건지 모르겠네.,endline
,l,레이나,하지만 결국 나와 적대하기 위해 온 걸테지?,endline
,l,레이나,여기까지 왔다는 건 너도 '특별한 아이' 일테니….,endline
,l,레이나,그들이 보낸 거야.,endline
,l,레이나,또 한번….;진실을 입막음하기 위해서….,endline
,event,show empty,left,endline
,event,show empty,right,endline
,event,end,,endline
Story02Boss0,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,디버그,쥬김 루트,endline
,l,레이나,대단한…. 능력이네.,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,진실이란 게….;대체 뭐죠.,endline
,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,진실은 거짓된 어둠을 밝히는 빛이지.,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,선문답하지 말고요!,endline
,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,…….,endline
,l,레이나,리안 병원에서….,endline
,l,레이나,난 진실을 봤어.,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,리안 병원에서?,endline
,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,그곳에서 만들어지는 것들을….,endline
,l,,(어디선가 기계적인 멜로디가가 들렸다.),endline
,event,show empty,left,endline
,event,show empty,right,endline
,event,end,,endline
Story02Boss1,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,디버그,살림 루트,endline
,l,레이나,대단한…. 능력이네.,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,진실이란 게….;대체 뭐죠.,endline
,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,진실은 거짓된 어둠을 밝히는 빛이지.,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,선문답하지 말고요!,endline
,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,…….,endline
,l,레이나,리안 병원에서….,endline
,l,레이나,난 진실을 봤어.,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,리안 병원에서?,endline
,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,그곳에서 만들어지는 것들을….,endline
,l,,(어디선가 기계적인 멜로디가가 들렸다.),endline
,event,show empty,left,endline
,event,show empty,right,endline
,event,end,,endline
Story02End,event,nextStage,3,endline
,event,end,,endline
Story03Start,event,show portrait_player,left,endline
,event,play_se,outer_space_twinkle_lp_01,endline
,l,미나,또야….;또 되돌아 왔어.,endline
,event,show portrait_player_gray,left,endline
,l,통신기,(미나…. 지금 막 그 지역에 봉쇄령이 떨어졌어.),endline
,event,show portrait_player,left,endline
,l,미나,리타….,endline
,l,미나,모든 게 똑같아….,endline
,event,show portrait_player_gray,left,endline
,l,통신기,(무슨 소리야. 미나.),endline
,l,통신기,(그보다 어서 돌아 와.),endline
,l,통신기,(지금 그곳은 위험지역이야….),endline
,event,show portrait_player,left,endline
,l,미나,…미안해. 리타.,endline
,event,show portrait_player_gray,left,endline
,l,통신기,(미나…?),endline
,event,play_se,Beep_out,endline
,event,show portrait_player,left,endline
,l,미나,…다시 가보는 수밖에 없어.,endline
,event,show empty,left,endline
,event,show empty,right,endline
,event,end,,endline
Story03Mid,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,여기는 왜 왔어?,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,…….,endline
,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,말도 없이 왜 그렇게 노려보니?,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,리안 병원에서 봤다는 진실이 뭔지….,endline
,l,미나,알려 줘요.,endline
,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,…….,endline
,l,레이나,그들이 보낸 거니?,endline
,l,레이나,진실을 입막음 하기 위해서?,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,…순순히 말해줄 생각은 없다는 거군요.,endline
,event,show empty,left,endline
,event,show empty,right,endline
,event,end,,endline
Story03Boss0,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,디버그,쥬김 루트,endline
,l,레이나,대단한…. 능력이네.,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,자. 이야기해요.,endline
,l,미나,리안 병원에서 봤다는 진실이 뭔지….,endline
,event,show portrait_fire,left,endline
,event,show portrait_player_gray,right,endline
,l,레이나,난….;'그것'이 만들어지는 걸 봤어.,endline
,l,레이나,특별한 아이들….,endline
,event,show portrait_fire_gray,left,endline
,event,show portrait_player,right,endline
,l,미나,네?,endline
