Story01Start,event,show portrait_player,left,endline,endline
,l,미나,…이 불꽃.,endline,endline
,l,미나,아니마야.,endline,endline
,event,show empty,left,endline,endline
,l,통신기,(미나…? 들려?),endline,endline
,l,통신기,(…지금 그 지역에 아니마가 발생한 모양이네.),endline,endline
,event,show portrait_player,left,endline,endline
,l,미나,응. 지금 보고 있어.,endline,endline
,event,show empty,left,endline,endline
,l,통신기,(그래. 당연히 알겠지만 수색은 종료야.),endline,endline
,event,show portrait_player,left,endline,endline
,l,미나,…하지만 리타.;이건 불꽃의 아니마야.,endline,endline
,l,미나,미사가 죽던 날….;나타났던 아니마라고.,endline,endline
,event,show empty,left,endline,endline
,l,통신기,(…네 심정은 이해해. 미나.),endline,endline
,l,통신기,(하지만 지금 그곳은 위험지역이야….),endline,endline
,l,통신기,(현장에서 나와. 미나.),endline,endline
,event,show portrait_player,left,endline,endline
,l,미나,….,endline,endline
,l,미나,아니.;안되겠어.,endline,endline
,event,show empty,left,endline,endline
,l,통신기,(미나…?),endline,endline
,event,show portrait_player,left,endline,endline
,l,미나,난…. 이 아니마의 주인과 만나봐야겠어.,endline,endline
,event,show portrait_player_gray,left,endline,endline
,l,통신기,(미나! 안된다고….),endline,endline
,l,통신기,삣,endline,endline
,event,play_se,beep_out.wav,endline,endline
,event,show portrait_player,left,endline,endline
,l,미나,미안해. 리타.,endline,endline
,event,show empty,left,endline,endline
,event,end,,endline,endline
Story01Mid01,event,show portrait_player,left,endline,endline
,l,미나,아니마의 힘이 점차 짙어져.,endline,endline
,l,미나,…가까이 있는 거야.,endline,endline
,l,미나,아니마의 주인이….,endline,endline
,l,미나,침착하게 가자.,endline,endline
,l,미나,난 시선이 닿는 곳이라면 어디든 텔레포트 할 수 있으니까.,endline,endline
,l,,(아무 곳이나 클릭해 텔레포트를 할 수 있습니다.),endline,endline
,event,show empty,left,endline,endline
,event,end,,endline,endline
Story01Mid02,event,show portrait_fire,left,endline,endline
,event,show portrait_player_gray,right,endline,endline
,l,레이나,너는 누구야?,endline,endline
,l,레이나,여기는 왜 왔어?,endline,endline
,event,show portrait_fire_gray,left,endline,endline
,event,show portrait_player,right,endline,endline
,l,미나,당신은?;…레이나 선배?,endline,endline
,l,미나,학생회장인 레이나 선배잖아요.,endline,endline
,event,show portrait_fire,left,endline,endline
,event,show portrait_player_gray,right,endline,endline
,l,레이나,아. 너 학생회에서 본 기억이 있어.,endline,endline
,l,레이나,이름이…. 뭐더라?,endline,endline
,event,show portrait_fire_gray,left,endline,endline
,event,show portrait_player,right,endline,endline
,l,미나,미나예요.,endline,endline
,event,show portrait_fire,left,endline,endline
,event,show portrait_player_gray,right,endline,endline
,l,레이나,미나.;그렇구나.,endline,endline
,l,레이나,아니마의 영역에 들어왔다는 건….,endline,endline
,l,레이나,너도 '특별한 아이'라는 말이네.,endline,endline
,l,레이나,너는 어떤 특별함을 가진 건지 물어봐도 될까?,endline,endline
,event,show portrait_fire_gray,left,endline,endline
,event,show portrait_player,right,endline,endline
,l,미나,그런 이야기를 하러 온 게 아니예요.,endline,endline
,event,show portrait_fire,left,endline,endline
,event,show portrait_player_gray,right,endline,endline
,l,레이나,…그러니?;그렇다면 무슨 일로 왔을까?,endline,endline
,event,show portrait_fire_gray,left,endline,endline
,event,show portrait_player,right,endline,endline
,l,미나,…단도직입적으로 물어볼게요.,endline,endline
,l,미나,얼마 전….;미사가 있는 병원에서 있었던 폭발.,endline,endline
,l,미나,선배가 그런건가요?,endline,endline
,event,show portrait_fire,left,endline,endline
,event,show portrait_player_gray,right,endline,endline
,l,레이나,병원이라면….;리안 병원 말이구나….,endline,endline
,l,레이나,거기에 미사라는 애가 있었던 모양이네.,endline,endline
,event,show portrait_fire_gray,left,endline,endline
,event,show portrait_player,right,endline,endline
,l,미나,…….,endline,endline
,event,show portrait_fire,left,endline,endline
,event,show portrait_player_gray,right,endline,endline
,l,레이나,그 폭발이라면 미안하게 됐어.,endline,
,event,show portrait_fire_gray,left,endline,
,event,show portrait_player,right,endline,
,l,미나,그 말은….;선배가 맞다는 거군요….,endline,
,event,show portrait_fire,left,endline,
,event,show portrait_player_gray,right,endline,
,l,레이나,…….;그렇다고 하면.,endline,
,l,레이나,나를 죽여주겠니?,endline,
,event,show portrait_fire_gray,left,endline,
,event,show portrait_player,right,endline,
,l,미나,…네?,endline,
,event,show portrait_fire,left,endline,
,event,show portrait_player_gray,right,endline,
,l,레이나,네 손에 죽는 것도 나쁘지 않을 것 같거든.,endline,
,l,레이나,오해와.;절망 속에서 말이야….,endline,
,event,show empty,left,endline,
,event,show empty,right,endline,
,event,end,,endline,
Story01Boss0,event,show portrait_fire,left,endline,
,event,show portrait_player_gray,right,endline,
,l,디버그,쥬김 루트,endline,
,l,레이나,순간 이동 능력이라….;대단한…. 능력이네.,endline,
,event,show portrait_fire_gray,left,endline,
,event,show portrait_player,right,endline,
,l,미나,….;왜 리안 병원을 공격했죠?,endline,
,event,show portrait_fire,left,endline,
,event,show portrait_player_gray,right,endline,
,l,레이나,그건…. 사고였어.,endline,
,event,show portrait_fire_gray,left,endline,
,event,show portrait_player,right,endline,
,l,미나,사고라고요?,endline,
,event,show portrait_fire,left,endline,
,event,show portrait_player_gray,right,endline,
,l,레이나,그 날….;나는 깨달았거든.,endline,
,l,레이나,모든 게 다….;거짓이라는 걸.,endline,
,event,show portrait_fire_gray,left,endline,
,event,show portrait_player,right,endline,
,l,미나,말 돌리지 마세요.,endline,
,event,show portrait_fire,left,endline,
,event,show portrait_player_gray,right,endline,
,l,레이나,후후후….,endline,
,l,레이나,순간이동 능력자라면….;바깥 세상을 본 적 있니?,endline,
,event,show portrait_fire_gray,left,endline,
,event,show portrait_player,right,endline,
,l,미나,…….,endline,
,event,show portrait_fire,left,endline,
,event,show portrait_player_gray,right,endline,
,l,레이나,특별하다는 건….;그만큼 '다르다'는 거야.,endline,
,l,레이나,후후….;후후후후….,endline,
,event,show portrait_fire_gray,left,endline,
,event,show portrait_player,right,endline,
,l,레이나,….,endline,
,event,show empty,left,endline,
,event,show empty,right,endline,
,event,end,,endline,
Story01Boss1,event,show portrait_fire,left,endline,
,event,show portrait_player_gray,right,endline,
,l,디버그,살림 루트,endline,
,l,레이나,순간 이동 능력이라….;대단한…. 능력이네.,endline,
,event,show portrait_fire_gray,left,endline,
,event,show portrait_player,right,endline,
,l,미나,….;왜 리안 병원을 공격했죠?,endline,
,event,show portrait_fire,left,endline,
,event,show portrait_player_gray,right,endline,
,l,레이나,그건…. 사고였어.,endline,
,event,show portrait_fire_gray,left,endline,
,event,show portrait_player,right,endline,
,l,미나,사고라고요?,endline,
,event,show portrait_fire,left,endline,
,event,show portrait_player_gray,right,endline,
,l,레이나,그 날….;나는 깨달았거든.,endline,
,l,레이나,모든 게 다….;거짓이라는 걸.,endline,
,event,show portrait_fire_gray,left,endline,
,event,show portrait_player,right,endline,
,l,미나,말 돌리지 마세요.,endline,
,event,show portrait_fire,left,endline,
,event,show portrait_player_gray,right,endline,
,l,레이나,후후후….,endline,
,l,레이나,순간이동 능력자라면….;바깥 세상을 본 적 있니?,endline,
,event,show portrait_fire_gray,left,endline,
,event,show portrait_player,right,endline,
,l,미나,…….,endline,
,event,show portrait_fire,left,endline,
,event,show portrait_player_gray,right,endline,
,l,레이나,특별하다는 건….;그만큼 '다르다'는 거야.,endline,
,l,레이나,후후….;후후후후….,endline,
,event,show portrait_fire_gray,left,endline,
,event,show portrait_player,right,endline,
,l,레이나,….,endline,
,event,show empty,left,endline,
,event,show empty,right,endline,
,event,end,,endline,
Story01End,event,show portrait_player,left,endline,
,l,,(레이나의 눈이 조용히 감겼다.),endline,
,l,미나,……미사.,endline,
,l,미나,내가 해냈어.,endline,
,event,show portrait_player_gray,left,endline,
,event,show portrait_time,right,endline,
,l,?,아….;레이나가 죽어버렸나.,endline,
,l,?,늦어버렸네.,endline,
,event,show portrait_player,left,endline,
,event,show portrait_time_gray,right,endline,
,l,미나,당신은?;또 다른 능력자가 있었나 보군요.,endline,
,event,show portrait_player_gray,left,endline,
,event,show portrait_time,right,endline,
,l,?,탈출이 너무 늦어졌어.,endline,
,l,?,다른 방법을 찾아봐야 하려나.,endline,
,event,show portrait_player,left,endline,
,event,show portrait_time_gray,right,endline,
,l,미나,대체 무슨 말을 하는 거죠?,endline,
,event,show portrait_player_gray,left,endline,
,event,show portrait_time,right,endline,
,l,?,그래. 뭐.,endline,
,l,?,어차피 이렇게 될 일이었을지도….,endline,
,event,play_se,gun.wav,endline,
,l,,(여성은 들고 있던 총을 관자놀이에 댄다.),endline,
,l,?,리셋.;다시 시작하자.,endline,
,event,show portrait_player,left,endline,
,event,show portrait_time_gray,right,endline,
,event,play_se,gun_firing.wav,endline,
,l,미나,!?,endline,
,event,nextstage,2,endline,
,event,show empty,left,endline,
,event,show empty,right,endline,
,event,end,,endline,
Story02Start,event,show portrait_player,left,endline,
,l,미나,여긴…?,endline,
,event,show portrait_player_gray,,endline,
,l,통신기,(미나…. 지금 막 그 지역에 봉쇄령이 떨어졌어.),endline,
,l,통신기,(수색은 종료야.),endline,
,event,show portrait_player,,endline,
,l,미나,…통신기가 연결이 되어 있어?,endline,
,l,미나,설마….,endline,
,event,show portrait_player_gray,,endline,
,l,통신기,(미나….?),endline,
,event,show portrait_player,,endline,
,l,미나,리타;혹시 지금 몇 시야?,endline,
,event,show portrait_player_gray,,endline,
,l,통신기,(오후 3시야.),endline,
